add.POSIXct,viz_owner_repo,video,source,title
2025-01-21T10:53:52.485204Z,tdhock/2024-08-bic-learned-details,"",https://github.com/tdhock/change-tutorial/blob/master/figure-regression-interactive-some.R,BIC versus learned penalty in neuroblastoma data
2025-01-21T10:53:52.485204Z,tdhock/2024-07-10-error-predict-qsip,"",https://github.com/tdhock/necromass/blob/main/data-qsip-jeff/figure-scatter/figure-scatter-interactive.R,Accuracy of predicting qSIP data
2025-01-21T10:53:52.485204Z,tdhock/2024-07-04-HMM-angular-data,"",https://github.com/tdhock/angular-change-paper/blob/main/figure-2d-hmm-real-interactive.R,Hidden Markov Model for 2d angular data
2025-01-21T10:53:52.485204Z,tdhock/2024-06-26-neuroblastomaProcessed-combinations,"",https://github.com/tdhock/max-generalized-auc/blob/master/figure-neuroblastomaProcessed-combinations-interactive.R,Generalized ROC curve metrics
2025-01-21T10:53:52.485204Z,nhintruong/figure-aum-convexity-interactive,"",https://github.com/tdhock/max-generalized-auc/blob/42cc5c79fa442e22313ae5f903c846f13483eb41/figure-aum-convexity-interactive.R,Simple non-monotonic ROC curve
2025-01-21T10:53:52.485204Z,nhintruong/figure-2019-08-14-animint,"",https://github.com/tdhock/neuroblastoma-data/blob/ff51e847a4d7b2fe61c1ad7e5f17c4d039aa2c9d/figure-2019-08-14-animint.R,Gaussian Process models for sample selection
2025-01-21T10:53:52.485204Z,tdhock/Animated2GradCAM-COVID19-Chest-X-ray-ViT-V3-140px-609Case,"",https://github.com/TyBruceChen/Animinted2GradCAM?tab=readme-ov-file,"Classifying chest X-rays, plot confidence"
2025-01-21T10:53:52.485204Z,tdhock/Animated2GradCAM-COVID19-Chest-X-ray-ViT-V2-200px-696Case,"",https://github.com/TyBruceChen/Research-A-Fined-Tuned-ViT-for-COVID-19-Image-Auxiliary-Diagnosing,Classifying Covid19 chest X-ray images
2025-01-21T10:53:52.485204Z,tdhock/2023-12-27-train-sizes-classification,"",https://github.com/tdhock/mlr3resampling/blob/main/vignettes/ResamplingVariableSizeTrainCV.Rmd,"Variable size train sets, classification"
2025-01-21T10:53:52.485204Z,tdhock/2023-12-26-train-sizes-regression,"",https://github.com/tdhock/mlr3resampling/blob/main/vignettes/Simulations.Rmd,"Variable size train set, regression"
2025-01-21T10:53:52.485204Z,tdhock/2023-12-13-train-predict-subsets-classification,"",https://github.com/tdhock/mlr3resampling/blob/942048163960cfeb90483224f52aa8315b3f50f5/vignettes/Simulations.Rmd,"Train/predict on subsets, classification"
2025-01-21T10:53:52.485204Z,tdhock/2023-12-13-train-predict-subsets-regression,"",https://github.com/tdhock/mlr3resampling/blob/d7cbe06fdb562ff8c1c8b4ad0bc055b65bd7b2c6/vignettes/Simulations.Rmd,"Train/predict on subsets, regression"
2025-01-21T10:53:52.485204Z,tdhock/2023-12-04-degree-neighbors,"",https://github.com/tdhock/cs499-spring2020/blob/master/2020-02-03-capacity/figure-polynomial-neighbors-interactive.R,Overfitting using linear model polynomial degree and nearest neighbors
2025-01-21T10:53:52.485204Z,tdhock/2023-12-04-capacity-polynomial-degree-several-patterns,"",https://github.com/tdhock/cs499-spring2020/blob/master/2020-02-03-capacity/figure-quadratic-interactive.R,Overfitting using linear model polynomial degree
2025-01-21T10:53:52.485204Z,tdhock/2023-11-21-auc-improved,"",https://github.com/tdhock/max-generalized-auc/blob/master/figure-auc-improved-interactive.R,Initial/optimized AUM/AUC for change-point problems
2025-01-21T10:53:52.485204Z,tdhock/2020-02-13-variable-importance-Sugar-Maple,"",https://github.com/tdhock/species-variable-selection/blob/master/figure-batchtools-expired-earth.R,Sugar Maple accuracy and variable selection
2025-01-21T10:53:52.485204Z,tdhock/2020-02-13-variable-importance-Table-Mountain-Pine,"",https://github.com/tdhock/species-variable-selection/blob/master/figure-batchtools-expired-earth.R,Table Mountain Pine accuracy and variable selection
2025-01-21T10:53:52.485204Z,tdhock/2020-02-13-roc-vs-error-Sugar-Maple,"",https://github.com/tdhock/species-variable-selection/blob/master/figure-batchtools-expired-earth.R,Sugar Maple ROC curves and error/accuracy metrics
2025-01-21T10:53:52.485204Z,tdhock/2020-02-13-roc-vs-error-Table-Mountain-Pine,"",https://github.com/tdhock/species-variable-selection/blob/master/figure-batchtools-expired-earth.R,Table Mountain Pine ROC curves and error/accuracy metrics
2025-01-21T10:53:52.485204Z,tdhock/2019-02-14-L2-regularization,"",https://github.com/tdhock/cs499-spring2019/blob/master/2019-02-14-L2-regularization/viz.R,L2-regularized (Ridge) least squares linear regression
